Name,Product,Company linkedIn,Company logo,Founders,Founders background,Total funding (in US$ million),Latest funding stage,Year founded,Investors,Description
ChemLex,Biotech,https://linkedin.com/company/chemlex,https://cdn.techinasia.com/data/images/u0uFw6gmkmcWlUAuf0qW0Ugh7cHN7be6KoIW6iCx.jpeg,"Sean Lin (https://sg.linkedin.com/in/linsen986), Peng Wang (https://cn.linkedin.com/in/peng-wang-7a717077), Xiaoxue Wang (https://cn.linkedin.com/in/xiaoxue-wang-5483abb7)","Sean Lin was the youngest global project manager at Tasly, a public Chinese pharmaceutical company and worked as Investment Professional at Chinese healthcare specialist fund Lyfe Capital.

Peng Wang was the senior research manager at KPC Pharmaceuticals, and group leader at WuXi AppTec, a global contract research, development, and manufacturing organization (CRDMO) operating sites across Asia, North America, and Europe.",71,Series B,2022,"Granite Asia (Singapore), Qiming Venture Partners (China), LYFE Capital (China), Sinovation Ventures (China)","Founded in 2022 in Shanghai, ChemLex uses artificial intelligence to accelerate discovery of synthetic molecules for the pharmaceutical industry, reducing time-to-market for drugs and medicines. In 2025, it opened its global headquarters in Singapore.

ChemLex says it has worked with more than 70 customers worldwide, including six of the world's top 10 pharmaceutical companies, but does not disclose specific client names."
Orion Arm,Productivity,https://www.linkedin.com/company/orionarmco,https://cdn.techinasia.com/data/images/GJAA9yikV9hlvvGY3mhtzzNuifQJnjgu0yyHbOcR.jpg,"Raymond Wang (https://sg.linkedin.com/in/54raymond), Haochuan Guo (https://www.linkedin.com/in/haochuan-g-518b8a40/), Robert Zheng (https://www.linkedin.com/in/robertwzheng/)","Raymond Wang was the co-founder of Ele.me, a Chinese food delivery platform, which was acquired by Alibaba in 2018 for US$9.5 billion. Haochuan Guo was the software architect at Ele.me. ",11,Seed,2023,Undisclosed,Orion Arm developed the AI calendar Toki and an AI-native news platform Syft. It claims Toki has 3 million registered users globally while Syft became the top-ranked news app on Google Play in Brazil and Portugal.
RockFlow,Trading,https://sg.linkedin.com/company/rockflowapp,https://cdn.techinasia.com/data/images/AKOnwuwmR0XWbrrMDwpCBaFqyW90uwyhHGWakdb7.png,Vakee Lai (https://www.linkedin.com/in/vakee-lai-592ab125),"Vakee Lai was senior product manager and investment director at Baidu, the most popular search engine in China.",Undisclosed,Series A,2021,"Ant Group (China), Lanchi Ventures (China)","RockFlow builds an AI agent that can execute trading strategies and has launched an AI stock trading arena, which it describes as the first live stock market test that benchmarked LLMs against real-world volatility."
Singdata,Data Infrastructure,https://sg.linkedin.com/company/singdata,https://cdn.techinasia.com/data/images/AMUNlogSaGImX27gE7BiYgePVY7K4VQYJbvYguCn.jpg,"Tao Guan (https://www.linkedin.com/in/tao-guan-1b57aa12), Sicheng Yu (https://www.linkedin.com/in/sicheng-yu-664938281)","Sicheng Yu was the vice president of Alibaba Group and Oracle China.
Tao Guan was the senior director of big data computing platform of Alibaba.",Undisclosed,Unknown,2021,Undisclosed,"It describes itself as a cloud-native lakehouse built for the AI era. Singdata counts Renote - China's answer to Instagram, and Singapore-based unicorn NinjaVan as clients."
Video Rebirth,Video AI,https://www.linkedin.com/company/video-rebirth,https://cdn.techinasia.com/data/images/FbjZ0UGHeQs6n6WPXH0qZC3u0Jp52VVLG7rcwdZc.jpg,"Wei Liu (https://www.linkedin.com/in/wei-liu-469a7418/), Dan Kong (https://www.linkedin.com/in/dan-k-434793b8/)","Wei Liu is a distinguished scientist at Tencent, where he contributed to the building of Tencent AI's foundational models, HunYuan.
Dan Kong is the director of corporate strategy of G42, a UAE-based startup that raised billions, in China.",50,Seed,2024,Undisclosed,"The company aims to build a ""world model"" for AI video generation. Video Rebirth's Avenger 0.5 Pro model ranks second in image-to-video on Artificial Analysis' video arena leaderboard in October 2025."
Whale AI,Enterprise AI,https://www.linkedin.com/company/hellowhale/posts/?feedView=all,https://cdn.techinasia.com/data/images/qWZdInnX3cir7MTVtYguXmGxze0TqoTZhXgvG0yF.jpeg,Jerry Ye (https://www.linkedin.com/in/sxye/),Jerry Ye was a data scientist at Facebook.,110,Series C,2017,"Temasek (Singapore), Robert Bosch Venture Capital (Germany), Linear Venture (China)","Whale was founded in 2017 in China and moved its headquarters to Singapore five years later. It provides surveillance tech for retail brands, and counts P&G, Watsons, and Pop Mart as customers."
